Nombre del Empleo, Compañia,Localizacion,Tiempo de Publicacion,Beneficios,Detalle de la Oferta
Front End Developer,Kin + Carta,Colombia,Hace 1 semana,Se busca personal,"At Kin + Carta, we’ve got opportunities to offer you — for growth, for leadership, for big, world-changing impact and for, dare we say it, fun. We are a global workforce that is committed to building a world that works better for everyone. And that starts with our Kin. That’s why we’re proud of:"
Front End Developer - Remote Work,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 2 semanas,Se busca personal,Be part of our team!
Front End Developer - Remote Work,Oowlish,Área metropolitana de Barranquilla,Hace 2 semanas,Se busca personal,Be part of our team!
Full-Stack Engineer,Project Growth,Colombia,Hace 1 mes,Sé uno de los primeros solicitantes,"Are you a dynamic and innovative Full-stack Engineer with a passion for creating seamless online journeys? Join our team and play a pivotal role in revolutionizing consumer interactions on our Shopify-based platform. As a Full-stack Engineer, you will leverage your expertise to optimize performance, elevate the user experience, and contribute to our cutting-edge digital landscape."
Full-Stack Developer,Project Growth,Colombia,Hace 4 semanas,Sé uno de los primeros solicitantes,"Our client is an innovative product development agency leading technological advancement. We're looking for a seasoned Bubble.io Developer to join our dynamic team. If you possess a minimum of 5 years of deep expertise in Bubble.io, we invite you to play a pivotal role in designing, developing, and implementing cutting-edge web applications and products through the power of visual programming. Your technical prowess and flair for integrating AI will be key in shaping the future of our solutions."
Front End Developer - Remote Work,Oowlish,"Medellín, Antioquia, Colombia",Hace 2 semanas,Se busca personal,Be part of our team!
Full-Stack Engineer,Project Growth,Colombia,Hace 1 mes,Sé uno de los primeros solicitantes,"Looking for an experienced Full-Stack Developer with six yrs+ experience to join our client's team. Responsibilities include improving website performance, optimizing consumer experience, and making impactful changes to our Shopify-based site. The ideal candidate is energetic, growth-focused, and passionate about achieving optimal performance and exceptional user experiences."
Desarrollador .NET WEB,NEORIS,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,"En NEORIS, acelerador digital que ayuda a las compañías a entrar en el futuro, estamos en búsqueda de Desarrollador .NET WEB ,"
Full-Stack Shopify Engineer,Project Growth,Colombia,Hace 1 mes,Sé uno de los primeros solicitantes,"Are you a technical virtuoso with a passion for shaping seamless online shopping experiences? Join us as a Full-Stack Shopify Engineer and become the driving force behind our E-Commerce platform's performance and consumer-centric enhancements. With over 5 years of experience, you'll be responsible for optimizing our site's functionality, performance, and front-end changes, ensuring a frictionless and engaging consumer journey."
PHP Developer - Remote,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
PHP Developer - Remote,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
React Software Developer - Work from home,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Python Software Programmer - Work from Home,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
PHP Developer - Remote,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
React Software Developer - Work from home,Oowlish,Área metropolitana de Barranquilla,Hace 6 días,Se busca personal,Be part of our team!
Python Software Programmer - Work from Home,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
React Software Developer - Work from home,Oowlish,"Medellín, Antioquia, Colombia",Hace 6 días,Se busca personal,Be part of our team!
Python Software Programmer - Work from Home,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Full Stack Java Engineer,Kin + Carta,Colombia,Hace 1 semana,Se busca personal,"At Kin + Carta, we’ve got opportunities to offer you — for growth, for leadership, for big, world-changing impact and for, dare we say it, fun. We are a global workforce that is committed to building a world that works better for everyone. And that starts with our Kin. That’s why we’re proud of:"
Software Engineer - Node.js - Remote Work,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Software Engineer - Node.js - Remote Work,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Manual QA Engineer,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Software Engineer - Node.js - Remote Work,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
Manual QA Engineer,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
Manual QA Engineer,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Data Engineer - Online Job,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
C/C++ Engineer - Remote Work,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Wordpress/Shopify Engineer - Remote Work,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
Wordpress/Shopify Engineer - Remote Work,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Wordpress/Shopify Engineer - Remote Work,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Data Engineer - Online Job,Oowlish,Área metropolitana de Barranquilla,Hace 2 semanas,Se busca personal,Be part of our team!
Data Engineer - Online Job,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
QA Automation Engineer - Online Job,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
C/C++ Engineer - Remote Work,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
C/C++ Engineer - Remote Work,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
QA Automation Engineer - Online Job,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Opening - System-Level Java Software Developer,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 6 días,Se busca personal,Be part of our team!
QA Automation Engineer - Online Job,Oowlish,Área metropolitana de Barranquilla,Hace 2 semanas,Se busca personal,Be part of our team!
Opening - System-Level Java Software Developer,Oowlish,"Medellín, Antioquia, Colombia",Hace 6 días,Se busca personal,Be part of our team!
DevOps Engineer (AWS) - Work from home,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 2 semanas,Se busca personal,Be part of our team!
Opening - System-Level Java Software Developer,Oowlish,Área metropolitana de Barranquilla,Hace 6 días,Se busca personal,Be part of our team!
DevOps Engineer (AWS) - Work from home,Oowlish,Área metropolitana de Barranquilla,Hace 2 semanas,Se busca personal,Be part of our team!
DevOps Engineer (AWS) - Work from home,Oowlish,"Medellín, Antioquia, Colombia",Hace 2 semanas,Se busca personal,Be part of our team!
Product Manager - EDR & Cybersecurity - Remote,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Product Manager - EDR & Cybersecurity - Remote,Oowlish,Área metropolitana de Barranquilla,Hace 1 semana,Se busca personal,Be part of our team!
Site Reliability Engineer- Work from home,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 5 días,Sé uno de los primeros solicitantes,Be part of our team!
Site Reliability Engineer- Work from home,Oowlish,Área metropolitana de Barranquilla,Hace 5 días,Sé uno de los primeros solicitantes,Be part of our team!
Site Reliability Engineer- Work from home,Oowlish,"Medellín, Antioquia, Colombia",Hace 4 días,Se busca personal,Be part of our team!
Product Manager - EDR & Cybersecurity - Remote,Oowlish,"Medellín, Antioquia, Colombia",Hace 1 semana,Se busca personal,Be part of our team!
Ruby on Rails Developer - Work from home,Oowlish,"Bogotá, Distrito Capital, Colombia",Hace 5 días,Se busca personal,Be part of our team!
Ruby on Rails Developer - Work from home,Oowlish,"Medellín, Antioquia, Colombia",Hace 5 días,Se busca personal,Be part of our team!
Ruby on Rails Developer - Work from home,Oowlish,Área metropolitana de Barranquilla,Hace 5 días,Sé uno de los primeros solicitantes,
